Card Title,Card Href,Extension ID,Page Title,Updated Date,Version,Offered By,Number of Users,Rating,Total Ratings
FixMeBot - AI Writing Assistant and Language Tool,https://chromewebstore.google.com/detail/fixmebot-ai-writing-assis/nahbifboflgafobhlnhndkigfgfjpijl,nahbifboflgafobhlnhndkigfgfjpijl,FixMeBot - AI Writing Assistant and Language Tool,"April 18, 2025",1.0.4.0,fixmebot.com,706,5.0,43 ratings
MailMagic - AI Email Assistant powered by ChatGPT,https://chromewebstore.google.com/detail/mailmagic-ai-email-assist/efkagogbohcbmhhcfpphbibapmeaiklc,efkagogbohcbmhhcfpphbibapmeaiklc,MailMagic - AI Email Assistant powered by ChatGPT,"November 24, 2024",1.0.0,9361-9195 Quebec Inc,"1,000",5.0,41 ratings
Duet Mail - Gmail AI Assistant,https://chromewebstore.google.com/detail/duet-mail-gmail-ai-assist/aiigdjghdodkbipkkcjacnhednmlhemo,aiigdjghdodkbipkkcjacnhednmlhemo,Duet Mail - Gmail AI Assistant,"December 22, 2025",1.3.10,Duet Mail LLC,209,5.0,38 ratings
ChatGPT AI assistant for Google Reviews and Questions,https://chromewebstore.google.com/detail/chatgpt-ai-assistant-for/ijhnbbfcbgmclbllcfhldcdibjkdinpd,ijhnbbfcbgmclbllcfhldcdibjkdinpd,ChatGPT AI assistant for Google Reviews and Questions,"October 28, 2024",0.1.6,9361-9195 Quebec Inc,"1,000",5.0,24 ratings
EmojAI,https://chromewebstore.google.com/detail/emojai/gnnjegdgbplhcoadniflbacadnmlepoa,gnnjegdgbplhcoadniflbacadnmlepoa,EmojAI,"February 4, 2025",1.0.3,turbostarter.dev,62,5.0,18 ratings
AI Powered Assistant For Openphone,https://chromewebstore.google.com/detail/ai-powered-assistant-for/kcidpmdphpembpfikcbknggjpgpcpmho,kcidpmdphpembpfikcbknggjpgpcpmho,AI Powered Assistant For Openphone,"November 30, 2024",0.2.2,9361-9195 Quebec Inc,480,5.0,15 ratings
LinkMatch For Pipedrive,https://chromewebstore.google.com/detail/linkmatch-for-pipedrive/pcoohgemdealkgmkbeadkjbjpifbkddj,pcoohgemdealkgmkbeadkjbjpifbkddj,LinkMatch For Pipedrive,"January 8, 2026",10.74,linkmatch.com,"5,000",5.0,11 ratings
Potion Screen Recorder - Easily Create Personalized AI Videos,https://chromewebstore.google.com/detail/potion-screen-recorder-ea/fikcpjkdkmmbmpahfkiodjnhnngfkghf,fikcpjkdkmmbmpahfkiodjnhnngfkghf,Potion Screen Recorder - Easily Create Personalized AI Videos,"December 5, 2024",2024.12.0411,sendpotion.com,"1,000",5.0,11 ratings
Outlook Email Templates by cloudHQ,https://chromewebstore.google.com/detail/outlook-email-templates-b/llhlhokgnabmiikbjdgjblajbbbenemj,llhlhokgnabmiikbjdgjblajbbbenemj,Outlook Email Templates by cloudHQ,"December 3, 2025",1.0.0.11,cloudHQ LLC,"3,000",5.0,10 ratings
Meex â€“ Get Video Meetings with Anyone,https://chromewebstore.google.com/detail/meex-%E2%80%93-get-video-meetings/dnjklpokjknbbjejbpcicakjefigcnda,dnjklpokjknbbjejbpcicakjefigcnda,Meex â€“ Get Video Meetings with Anyone,"January 9, 2026",0.8.883,meex.co,174,5.0,10 ratings
Gmail Inbox Zero by cloudHQ,https://chromewebstore.google.com/detail/gmail-inbox-zero-by-cloud/oadlfcoffgcjbckkkgjgcffpknhhodoa,oadlfcoffgcjbckkkgjgcffpknhhodoa,Gmail Inbox Zero by cloudHQ,"November 30, 2025",1.0.1.6,cloudHQ LLC,"1,000",5.0,9 ratings
Sidenote,https://chromewebstore.google.com/detail/sidenote/jlaieagppfmkikkkfbgagdpkmidkmmhd,jlaieagppfmkikkkfbgagdpkmidkmmhd,Sidenote,"January 10, 2026",0.0.20,https://sidenoteapp.com/,218,5.0,9 ratings
Voice to Text (Whisper) + AI Writing â€” Sleekio,https://chromewebstore.google.com/detail/voice-to-text-whisper-+-a/ofcnobbcnfgchjjfpembldomkdldepfm,ofcnobbcnfgchjjfpembldomkdldepfm,Voice to Text (Whisper) + AI Writing â€” Sleekio,"January 4, 2026",4.1,SLEB LLC,153,5.0,8 ratings
Outworks AI,https://chromewebstore.google.com/detail/outworks-ai/ihigppbedaljfdbjhpfnaoboajgkkjnl,ihigppbedaljfdbjhpfnaoboajgkkjnl,Outworks AI,"November 25, 2024",0.4.4,"Outworks Ventures, LLC",123,5.0,8 ratings
OChat: AI chat companion for WhatsApp & more.,https://chromewebstore.google.com/detail/ochat-ai-chat-companion-f/bedbcjebgdhkmjejpcelphejcbkjjchm,bedbcjebgdhkmjejpcelphejcbkjjchm,OChat: AI chat companion for WhatsApp & more.,"November 24, 2025",1.1.4,CIRCLE BIT SOFTWARE SOLUTIONS TRADING L.L.C,561,5.0,8 ratings
Screenshot & Bookmark Manager by Lasso,https://chromewebstore.google.com/detail/screenshot-bookmark-manag/mpgmpojhkikacbjcdgibnhckgogphelc,mpgmpojhkikacbjcdgibnhckgogphelc,Screenshot & Bookmark Manager by Lasso,"October 22, 2023",1.5.12,vFlyer Inc,"1,000",5.0,7 ratings
LinkMatch For HubSpot,https://chromewebstore.google.com/detail/linkmatch-for-hubspot/hplabloglpkgkkakldlgbnjkliakpklg,hplabloglpkgkkakldlgbnjkliakpklg,LinkMatch For HubSpot,"December 4, 2025",5.73,linkmatch.com,"2,000",5.0,7 ratings
Gmail Button - Custom Buttons & QR Codes,https://chromewebstore.google.com/detail/gmail-button-custom-butto/kclafgfgjcljnnokfegpkpelikgnomdm,kclafgfgjcljnnokfegpkpelikgnomdm,Gmail Button - Custom Buttons & QR Codes,"November 17, 2025",1.0.1,emailbuttons.com,87,5.0,6 ratings
ToDo List : explode your productiviy,https://chromewebstore.google.com/detail/todo-list-explode-your-pr/flkbddjohcegkfnfncpaoclcnpbmcobi,flkbddjohcegkfnfncpaoclcnpbmcobi,ToDo List : explode your productiviy,"February 15, 2025",1.4,N/A,74,5.0,6 ratings
Clodo Copilot: AI for Outbound,https://chromewebstore.google.com/detail/clodo-copilot-ai-for-outb/ahcikciiiaefbgeocfegjegmhejollme,ahcikciiiaefbgeocfegjegmhejollme,Clodo Copilot: AI for Outbound,"December 24, 2025",1.0.8,clodo.ai,66,5.0,6 ratings
Rentyne - Property Reviews,https://chromewebstore.google.com/detail/rentyne-property-reviews/pngjjpemmfladbdamlikpmjdneijffli,pngjjpemmfladbdamlikpmjdneijffli,Rentyne - Property Reviews,"October 15, 2025",1.0.0,rentyne.com,N/A,5.0,5 ratings
WhatsApp Editor,https://chromewebstore.google.com/detail/whatsapp-editor/jlgcngamnmdbbkedkgmpgffmdbfkeiga,jlgcngamnmdbbkedkgmpgffmdbfkeiga,WhatsApp Editor,"September 14, 2023",1.1,N/A,569,5.0,5 ratings
Multi-Lingual Input Tools,https://chromewebstore.google.com/detail/multi-lingual-input-tools/dkbgodmmblfcnfledmedmepimmpebnjo,dkbgodmmblfcnfledmedmepimmpebnjo,Multi-Lingual Input Tools,"January 8, 2025",6.7.1,https://multi-lingual.extensions.saisiddhish.me/,N/A,5.0,5 ratings
CodeBuddy,https://chromewebstore.google.com/detail/codebuddy/pdejahgboaggjdcfgmnccgfjaolikplf,pdejahgboaggjdcfgmnccgfjaolikplf,CodeBuddy,"December 31, 2025",3.11.0,N/A,35,5.0,4 ratings
Atmos,https://chromewebstore.google.com/detail/atmos/oemlcamaflejejnfkngaponakmghllhg,oemlcamaflejejnfkngaponakmghllhg,Atmos,"September 26, 2024",1.13.1,N/A,111,5.0,4 ratings
Phonetic Pro Text Converter,https://chromewebstore.google.com/detail/phonetic-pro-text-convert/gkiponhaimpgmomdojpmiipjdaidoefb,gkiponhaimpgmomdojpmiipjdaidoefb,Phonetic Pro Text Converter,"April 25, 2025",1.1.1,cemates.me,68,5.0,4 ratings
Meeting Caller,https://chromewebstore.google.com/detail/meeting-caller/clkhkjfdmenabbbldfplainfefjdjekm,clkhkjfdmenabbbldfplainfefjdjekm,Meeting Caller,"July 16, 2025",2.0.0,orriss.io,176,5.0,4 ratings
IsThisSpam - Ultimate Scam/Spam & Phishing Detector,https://chromewebstore.google.com/detail/isthisspam-ultimate-scams/bfgcckbokffmjofhelocajkkbpenjfoj,bfgcckbokffmjofhelocajkkbpenjfoj,IsThisSpam - Ultimate Scam/Spam & Phishing Detector,"December 10, 2025",4.30,isthisspam.org,18,5.0,4 ratings
Younet: Personalized AI to write & respond,https://chromewebstore.google.com/detail/younet-personalized-ai-to/ahabdciobjaamioehoaifaoabkimhegj,ahabdciobjaamioehoaifaoabkimhegj,Younet: Personalized AI to write & respond,"January 31, 2025",0.1.763,younet.ai,179,5.0,4 ratings
"Copy Emoji: Emoji Keyboard, Emoji List & Instant Copy",https://chromewebstore.google.com/detail/copy-emoji-emoji-keyboard/pieichifjemgjbgdokiegpcbigadmnch,pieichifjemgjbgdokiegpcbigadmnch,"Copy Emoji: Emoji Keyboard, Emoji List & Instant Copy","April 7, 2025",1.0.0,shimanski.dev,"1,000",5.0,3 ratings
Rexmoji,https://chromewebstore.google.com/detail/rexmoji/nbecjgkalhdijjiicijfnnnmdcamdmif,nbecjgkalhdijjiicijfnnnmdcamdmif,Rexmoji,"February 22, 2023",1.3.1,N/A,136,5.0,3 ratings
Active Group Users,https://chromewebstore.google.com/detail/active-group-users/moeikogeobbcmheckflepdogdjdcahfk,moeikogeobbcmheckflepdogdjdcahfk,Active Group Users,"December 25, 2025",6.1.5,https://www.activegroupusers.com/,135,5.0,3 ratings
Satcom - Collaborative layer for the Internet,https://chromewebstore.google.com/detail/satcom-collaborative-laye/lhoejonhkpkgnhaamjcplefkkomlldgi,lhoejonhkpkgnhaamjcplefkkomlldgi,Satcom - Collaborative layer for the Internet,"June 12, 2024",0.1.6,satcom.app,39,5.0,3 ratings
Keylang,https://chromewebstore.google.com/detail/keylang/lcdknfdkanhghggokgjnhmgiegngjdja,lcdknfdkanhghggokgjnhmgiegngjdja,Keylang,"November 29, 2023",1.3.1,N/A,26,5.0,3 ratings
MicMyMail - Send voice messages in Gmail for FREE,https://chromewebstore.google.com/detail/micmymail-send-voice-mess/kelobebpecheffgjeeflpmdeefldalhn,kelobebpecheffgjeeflpmdeefldalhn,MicMyMail - Send voice messages in Gmail for FREE,"September 15, 2025",2.1,micmymail.com,27,5.0,3 ratings
ScriboWriter - AI Email Writer,https://chromewebstore.google.com/detail/scribowriter-ai-email-wri/glajaboiieoebaecoeciecmghndfpijo,glajaboiieoebaecoeciecmghndfpijo,ScriboWriter - AI Email Writer,"February 28, 2025",1.0.2,https://www.scribowriter.com/,38,5.0,3 ratings
Canned Responses by NATT,https://chromewebstore.google.com/detail/canned-responses-by-natt/gepanmdpmihmehobgpmjfipmglgnihkg,gepanmdpmihmehobgpmjfipmglgnihkg,Canned Responses by NATT,"February 14, 2024",1.0.3,N/A,30,5.0,3 ratings
Tagada for Gmail,https://chromewebstore.google.com/detail/tagada-for-gmail/empoakmlgachhalnfimiknlgmfpljmhf,empoakmlgachhalnfimiknlgmfpljmhf,Tagada for Gmail,"December 30, 2025",1.3.5,CAMINA,6,5.0,3 ratings
AI Email Reply Generator,https://chromewebstore.google.com/detail/ai-email-reply-generator/allibihbbmmpaebjhadfikmemmolkkec,allibihbbmmpaebjhadfikmemmolkkec,AI Email Reply Generator,"October 11, 2025",1.0.10,N/A,991,5.0,3 ratings
AI Writing Generator: AIFreeBox,https://chromewebstore.google.com/detail/ai-writing-generator-aifr/pkpcgkdoppebhnlneefdgncjlgjfngci,pkpcgkdoppebhnlneefdgncjlgjfngci,AI Writing Generator: AIFreeBox,"April 2, 2025",5.3.1,aifreebox.com,"2,000",5.0,2 ratings
Html2Email: HTML editor and Inserter for Gmail & Yahoo Mail,https://chromewebstore.google.com/detail/html2email-html-editor-an/pgdmhodlebnljmmknpicldhgdnllonmd,pgdmhodlebnljmmknpicldhgdnllonmd,Html2Email: HTML editor and Inserter for Gmail & Yahoo Mail,"December 12, 2025",1.4.0,sendhtml.email,437,5.0,2 ratings
Writewiz: AI Content Creator & Writing Tool,https://chromewebstore.google.com/detail/writewiz-ai-content-creat/nikfnkpdalalkollmjgjkgmfblfmlpbd,nikfnkpdalalkollmjgjkgmfblfmlpbd,Writewiz: AI Content Creator & Writing Tool,"December 26, 2024",2.0.24,writewiz.ai,245,5.0,2 ratings
XinsightAI - Twitter AI Reply Assistant,https://chromewebstore.google.com/detail/xinsightai-twitter-ai-rep/ngppfaclmbaaagondnfjkigkmacfphhc,ngppfaclmbaaagondnfjkigkmacfphhc,XinsightAI - Twitter AI Reply Assistant,"November 24, 2025",production,xinsight.me,6,5.0,2 ratings
ReplyRocket,https://chromewebstore.google.com/detail/replyrocket/lagclghgckajeoincabkhkajfdpnjnaa,lagclghgckajeoincabkhkajfdpnjnaa,ReplyRocket,"January 2, 2024",1.0.0,N/A,3,5.0,2 ratings
Salespal,https://chromewebstore.google.com/detail/salespal/kkhfghobgopeoblfljoehpljlmpobenf,kkhfghobgopeoblfljoehpljlmpobenf,Salespal,"April 4, 2024",1.0.6,salespal.io,24,5.0,2 ratings
NameInserter,https://chromewebstore.google.com/detail/nameinserter/jhcjpmnikljjacpclfgcdbcemhfojkeb,jhcjpmnikljjacpclfgcdbcemhfojkeb,NameInserter,"October 21, 2023",1.1,N/A,25,5.0,2 ratings
Birdeye,https://chromewebstore.google.com/detail/birdeye/glbdijnpmjgjgdgbmcnkohahinhkjmgd,glbdijnpmjgjgdgbmcnkohahinhkjmgd,Birdeye,"November 26, 2025",1.0.0.5,https://birdeye.com/,852,5.0,2 ratings
Beautiful Hieroglyphs,https://chromewebstore.google.com/detail/beautiful-hieroglyphs/ejdjggchjcccilcghndkdcnllinanmch,ejdjggchjcccilcghndkdcnllinanmch,Beautiful Hieroglyphs,"February 12, 2024",0.4.1,N/A,50,5.0,2 ratings
Scholarometer,https://chromewebstore.google.com/detail/scholarometer/cancljbppfaghiangdombkgjhbfcoomf,cancljbppfaghiangdombkgjhbfcoomf,Scholarometer,"March 6, 2024",5.4.0,https://scholarometer.indiana.edu/,"1,000",5.0,2 ratings
HubSpot Templates for Gmailâ„¢ by cloudHQ,https://chromewebstore.google.com/detail/hubspot-templates-for-gma/bpamdngaencblehpekanhchfaejgimln,bpamdngaencblehpekanhchfaejgimln,HubSpot Templates for Gmailâ„¢ by cloudHQ,"November 29, 2025",1.0.2.10,cloudHQ LLC,"2,000",5.0,2 ratings
Automatic Tawk Translator,https://chromewebstore.google.com/detail/automatic-tawk-translator/peimgiigfiplofofdendgchegipbpeok,peimgiigfiplofofdendgchegipbpeok,Automatic Tawk Translator,"January 4, 2026",2.1.13,N/A,451,5.0,1 rating
Slackâ„¢ Translate,https://chromewebstore.google.com/detail/slack-translate/ogeieigjomecilgfebkdbgdckfpbjfah,ogeieigjomecilgfebkdbgdckfpbjfah,Slackâ„¢ Translate,"November 16, 2024",1.3.5,N/A,402,5.0,1 rating
Table of Contents Generator for Medium,https://chromewebstore.google.com/detail/table-of-contents-generat/kjnpkcndbjmheeenngfemcmcjfeahefa,kjnpkcndbjmheeenngfemcmcjfeahefa,Table of Contents Generator for Medium,"September 2, 2023",1.0,N/A,60,5.0,1 rating
Sangoma Meet,https://chromewebstore.google.com/detail/sangoma-meet/kcceflnmljlefienlljlndciijmpcpnf,kcceflnmljlefienlljlndciijmpcpnf,Sangoma Meet,"February 26, 2025",5.8.1,N/A,676,5.0,1 rating
Email Whisperer - GPT AI Email Writer,https://chromewebstore.google.com/detail/email-whisperer-gpt-ai-em/iilfbdcjfcbfelllghamdbpoombfapfj,iilfbdcjfcbfelllghamdbpoombfapfj,Email Whisperer - GPT AI Email Writer,"February 22, 2024",1.5,N/A,61,5.0,1 rating
Apollolytics,https://chromewebstore.google.com/detail/apollolytics/ifikempnpjnocibkfhmfjbifmmipjalp,ifikempnpjnocibkfhmfjbifmmipjalp,Apollolytics,"June 24, 2025",2.1,apollolytics.com,57,5.0,1 rating
Community Polls,https://chromewebstore.google.com/detail/community-polls/hgcaippnfonibmjipfedgfpddiilcoeh,hgcaippnfonibmjipfedgfpddiilcoeh,Community Polls,"November 2, 2023",1.1.0,N/A,55,5.0,1 rating
PlusThat,https://chromewebstore.google.com/detail/plusthat/fdolcalgjiodophceognejkdeokllmfh,fdolcalgjiodophceognejkdeokllmfh,PlusThat,"March 6, 2025",0.20,ABLE STYLE LTD,8,5.0,1 rating
Embed2Share,https://chromewebstore.google.com/detail/embed2share/bahilgongphmlcfcbbefjjkiejbegili,bahilgongphmlcfcbbefjjkiejbegili,Embed2Share,"November 6, 2023",1.1.1,N/A,9,5.0,1 rating
Walution - WhatsApp Sender,https://chromewebstore.google.com/detail/walution-whatsapp-sender/gnkoofidpbkdoejdloidmbdefjpgpjdi,gnkoofidpbkdoejdloidmbdefjpgpjdi,Walution - WhatsApp Sender,"October 9, 2025",1.7.4,quicklution.com,"4,000",5.0,573 ratings
Professionally AI Email Writer,https://chromewebstore.google.com/detail/professionally-ai-email-w/mkbiijndlaclmmaniflgfcogjhdgdjkc,mkbiijndlaclmmaniflgfcogjhdgdjkc,Professionally AI Email Writer,"September 19, 2025",5.5.0,Professionally Inc.,"1,000",5.0,829 ratings
Fathom AI Note Taker for Google Meet,https://chromewebstore.google.com/detail/fathom-ai-note-taker-for/nhocmlminaplaendbabmoemehbpgdemn,nhocmlminaplaendbabmoemehbpgdemn,Fathom AI Note Taker for Google Meet,"January 7, 2026",0.0.37,fathom.video,"300,000",5.0,1.4K ratings
Synonyms Deluxe,https://chromewebstore.google.com/detail/synonyms-deluxe/kfeajncmldifdopobhjlgbhilblhbekd,kfeajncmldifdopobhjlgbhilblhbekd,Synonyms Deluxe,"January 3, 2025",1.10,jurgen.si,"4,000",5.0,127 ratings
WA Filter & Number Checker: Check & Verify WhatsApp Numbers,https://chromewebstore.google.com/detail/wa-filter-number-checker/ceiabhjcgkahlflefonigpjiicdfaadn,ceiabhjcgkahlflefonigpjiicdfaadn,WA Filter & Number Checker: Check & Verify WhatsApp Numbers,"January 6, 2026",3.0.20,wa-filter.com,"4,000",4.9,799 ratings
Auto Follow Up for Gmailâ„¢ by cloudHQ,https://chromewebstore.google.com/detail/auto-follow-up-for-gmail/omlanehmflpiihaadkghlgnbocimgokm,omlanehmflpiihaadkghlgnbocimgokm,Auto Follow Up for Gmailâ„¢ by cloudHQ,"November 29, 2025",1.0.2.29,cloudHQ LLC,"9,000",4.9,34 ratings
Claap - Meeting & Screen Recording,https://chromewebstore.google.com/detail/claap-meeting-screen-reco/bnflmljpbmkjeahgjakmjdanmhldjhbk,bnflmljpbmkjeahgjakmjdanmhldjhbk,Claap - Meeting & Screen Recording,"March 26, 2025",0.1133.0,https://www.claap.io/,"10,000",4.9,33 ratings
